session ID_full_foc q_obs q_gen ttt nb_genot
3.MO2 3.MO2.10 0.466666666666667 NA 2_medium 0
4.FA1 4.FA1.01 0.610736579275905 NA 1_low 1
4.FA1 4.FA1.02 0.276302349336057 1 1_low 6
4.FA1 4.FA1.03 0.371960297766749 NA 1_low 0
4.FA1 4.FA1.04 0.393417366946779 NA 1_low 0
4.FA1 4.FA1.05 0.595959595959596 0.266666666666667 1_low 10
4.FA1 4.FA1.07 0.404866866513842 0.523809523809524 1_low 7
4.FA1 4.FA1.08 0.27027027027027 1 1_low 7
4.FA1 4.FA1.09 0.385395425737118 1 1_low 4
4.FA1 4.FA1.10 0.417388873357562 1 1_low 3
4.FA2 4.FA2.02 0.759784075573549 0.4 1_low 5
4.FA2 4.FA2.03 0.281639928698752 0.428571428571429 1_low 8
4.FA2 4.FA2.04 0.333333333333333 NA 1_low 0
4.FA2 4.FA2.07 0.798653198653199 NA 1_low 1
4.FA2 4.FA2.08 NA NA 1_low 0
4.FA2 4.FA2.09 0.305555555555556 NA 1_low 0
4.MO1 4.MO1.01 0.33719298245614 0.428571428571429 2_medium 8
4.MO1 4.MO1.02 0.153373963169127 0.355555555555556 2_medium 10
4.MO1 4.MO1.03 0.190748083531589 0.285714285714286 2_medium 8
4.MO1 4.MO1.04 0.143974137282911 0.355555555555556 2_medium 10
4.MO1 4.MO1.05 0.242686890574215 0.428571428571429 2_medium 7
4.MO1 4.MO1.06 0.225641025641026 NA 2_medium 1
4.MO1 4.MO1.07 0.264677880038083 0.285714285714286 2_medium 7
4.MO1 4.MO1.08 0.261398497831376 0.476190476190476 2_medium 7
4.MO1 4.MO1.09 0.206069638260398 0 2_medium 2
4.MO1 4.MO1.10 0.175302013422819 0.583333333333333 2_medium 9
4.MO2 4.MO2.01 0.267901234567901 0 2_medium 2
4.MO2 4.MO2.02 0.19697537807774 0 2_medium 3
4.MO2 4.MO2.03 0.172936259143156 0.428571428571429 2_medium 7
4.MO2 4.MO2.04 0.245355191256831 0.178571428571429 2_medium 8
4.MO2 4.MO2.05 0.250373997008024 0.416666666666667 2_medium 9
4.MO2 4.MO2.06 0.216179315052907 0.333333333333333 2_medium 3
4.MO2 4.MO2.07 0.289149645081848 0.1 2_medium 5
4.MO2 4.MO2.08 0.217427733556766 0.285714285714286 2_medium 8
4.MO2 4.MO2.09 0.150397989107667 0.466666666666667 2_medium 10
4.MO2 4.MO2.10 0.15632183908046 0.466666666666667 2_medium 10
5.FA1 5.FA1.01 0.515669515669516 NA 1_low 0
5.FA1 5.FA1.03 0.290017326402772 NA 1_low 0
5.FA1 5.FA1.04 0.533333333333333 NA 1_low 0
5.FA1 5.FA1.06 0.41025641025641 NA 1_low 0
5.FA1 5.FA1.07 0.889140271493213 NA 1_low 0
5.FA1 5.FA1.08 0.52431289640592 NA 1_low 0
5.FA1 5.FA1.09 0.652564102564103 NA 1_low 0
5.FA1 5.FA1.10 0.373737373737374 NA 1_low 0
5.MO1 5.MO1.01 0.612290862290862 NA 2_medium 0
5.MO1 5.MO1.02 1 NA 2_medium 0
5.MO1 5.MO1.03 0.423585404547858 NA 2_medium 0
5.MO1 5.MO1.04 0.288888888888889 NA 2_medium 0
