offspring_id known_id candidate_id
1.FA2.08_H1_R7_03 1.FA2.08 1.FA2.07
1.FA2.08_H1_R8_01 1.FA2.08 1.FA2.07
1.FA2.08_H1_R9_01 1.FA2.08 1.FA2.07
1.FA2.08_H2_R3_01 1.FA2.08 1.FA2.07
1.FA2.08_H2_R3_02 1.FA2.08 1.FA2.07
1.FA2.08_H2_R3_04 1.FA2.08 1.FA2.10
1.FA2.08_H2_R3_05 1.FA2.08 1.FA2.07
1.FA2.08_H2_R3_06 1.FA2.08 1.FA2.05
1.FA2.08_H2_R3_07 1.FA2.08 1.FA2.07
1.FA2.08_H2_R4_01 1.FA2.08 1.FA2.08
1.FA2.08_H3_R1_01 1.FA2.08 1.FA2.07
1.FA2.08_H3_R2_02 1.FA2.08 1.FA2.07
1.FA2.08_H3_R2_04 1.FA2.08 1.FA2.10
1.FA2.08_H3_R3_02 1.FA2.08 1.FA2.07
1.FA2.08_H3_R3_03 1.FA2.08 1.FA2.07
1.FA2.08_H3_R3_04 1.FA2.08 1.FA2.07
1.FA2.08_H3_R3_05 1.FA2.08 1.FA2.05
1.FA2.08_H3_R3_06 1.FA2.08 1.FA2.07
1.FA2.08_H3_R3_07 1.FA2.08 1.FA2.05
1.FA2.08_H3_R3_08 1.FA2.08 1.FA2.07
1.FA2.08_H3_R3_09 1.FA2.08 1.FA2.05
1.FA2.08_H3_R3_10 1.FA2.08 1.FA2.07
1.FA2.09_H1_R1_02 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_03 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_04 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_05 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_06 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_07 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_08 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_09 1.FA2.09 1.FA2.09
1.FA2.09_H1_R1_10 1.FA2.09 1.FA2.08
1.FA2.09_H1_R1_11 1.FA2.09 1.FA2.09
